Rk,Gtm,Date,Venue,Opp,Rslt,GF,GA,OT,SOGH,PIM,PPGH,PPOH,SHG,SOGA,PIM,PPGA,PPOA,SHG,FOW,FOL,FO%,CF,CA,CF%,FF,FA,FF%,oZS%,PDO
41,41,2025-01-05,,PHI,W,3,2,OT,25,13,0,1,0,32,9,0,3,0,37,18,67.3,43,52,45.3,32,42,43.2,32.3,102.8
42,42,2025-01-07,@,PHI,W,3,2,,17,13,1,4,0,32,15,0,4,0,30,26,53.6,44,44,50.0,29,36,44.6,54.8,106.3
43,43,2025-01-09,@,CAR,L,3,6,,33,6,1,2,0,34,4,0,3,1,26,27,49.1,54,72,42.9,44,54,44.9,38.5,89.2
44,44,2025-01-11,,VAN,L,0,3,,20,0,0,3,0,18,6,0,0,0,25,24,51.0,51,40,56.0,30,26,53.6,67.7,83.3
45,45,2025-01-14,,DAL,L,1,4,,28,6,0,2,0,23,4,2,3,0,24,25,49.0,42,41,50.6,36,33,52.2,61.5,87.2
46,46,2025-01-16,,NJD,W,4,3,OT,41,6,1,2,0,24,4,2,3,0,36,33,52.2,72,33,68.6,51,21,70.8,53.8,92.8
47,47,2025-01-18,@,MTL,W,7,3,,34,10,2,4,2,35,8,1,5,0,28,39,41.8,50,58,46.3,38,43,46.9,38.5,103.9
48,48,2025-01-20,,TBL,W,5,3,,28,4,1,1,0,30,2,1,2,0,31,31,50.0,46,50,47.9,38,40,48.7,52.9,102.0
49,49,2025-01-22,,CBJ,L,1,5,,29,9,0,3,0,19,15,0,0,1,32,20,61.5,60,34,63.8,40,25,61.5,67.9,78.2
50,50,2025-01-25,@,OTT,L,1,2,,29,6,0,1,0,23,4,1,2,0,27,24,52.9,59,38,60.8,41,27,60.3,53.3,95.0
51,51,2025-01-29,,MIN,L,1,3,,33,2,0,1,0,25,2,1,1,0,32,19,62.7,65,39,62.5,43,32,57.3,60.0,91.4
52,52,2025-02-01,@,EDM,W,4,3,,28,6,2,2,0,48,6,0,2,0,27,24,52.9,33,65,33.7,25,43,36.8,51.9,103.8
53,53,2025-02-04,@,CGY,W,6,3,,30,10,2,4,0,26,8,2,5,0,38,34,52.8,46,42,52.3,31,25,55.4,67.6,104.3
54,54,2025-02-06,@,SEA,W,3,1,,30,15,1,3,0,27,11,0,5,0,32,29,52.5,37,48,43.5,28,35,44.4,44.4,105.4
55,55,2025-02-08,@,VAN,L,1,2,,28,4,0,2,0,25,4,1,2,0,27,17,61.4,48,54,47.1,36,43,45.6,52.0,96.5
56,56,2025-02-22,,CAR,W,6,3,,23,6,0,2,0,35,6,0,2,0,39,28,58.2,27,65,29.3,22,46,32.4,33.3,115.0
57,57,2025-02-23,@,CHI,W,5,2,,30,2,1,3,0,27,6,1,1,0,31,20,60.8,55,44,55.6,41,31,56.9,58.6,105.1
58,58,2025-02-25,@,BOS,W,5,4,OT,29,12,1,4,0,36,8,2,6,0,30,28,51.7,48,37,56.5,35,29,54.7,52.4,99.4
59,59,2025-02-28,@,NYR,W,3,2,,16,6,1,4,0,35,8,0,3,1,23,38,37.7,29,60,32.6,18,42,30.0,39.3,111.0
60,60,2025-03-02,@,PIT,W,6,5,OT,33,4,0,1,0,34,2,1,2,0,33,26,55.9,56,58,49.1,44,40,52.4,52.8,101.4
61,61,2025-03-03,,SJS,L,2,3,SO,27,9,2,5,0,22,15,0,2,0,43,19,69.4,49,44,52.7,24,35,40.7,50.0,90.9
62,62,2025-03-05,@,VEG,L,2,5,,31,15,1,3,0,25,15,1,3,0,41,24,63.1,50,50,50.0,36,37,49.3,65.7,84.5
63,63,2025-03-08,@,COL,L,4,7,,21,8,1,1,0,34,4,1,3,0,36,20,64.3,36,49,42.4,27,40,40.3,46.2,98.2
64,64,2025-03-10,@,UTA,W,4,3,SO,26,15,2,5,0,33,15,1,5,0,34,31,52.3,28,58,32.6,19,38,33.3,32.3,99.2
65,65,2025-03-13,,FLA,L,2,3,,25,11,0,3,0,25,11,2,3,0,28,29,49.1,36,42,46.2,28,32,46.7,40.7,97.5
66,66,2025-03-15,,OTT,L,2,4,,23,7,0,1,0,25,7,1,1,0,31,27,53.4,49,47,51.0,33,35,48.5,61.1,94.0
67,67,2025-03-17,,CGY,W,6,2,,29,10,3,3,0,26,8,0,4,0,37,15,71.2,41,54,43.2,32,39,45.1,36.0,100.6
68,68,2025-03-19,,COL,W,2,1,,26,8,1,1,1,39,6,1,2,0,35,25,58.3,42,61,40.8,30,44,40.5,44.1,97.4
69,69,2025-03-20,@,NYR,W,4,3,,28,2,0,1,0,30,2,0,1,0,30,25,54.5,45,55,45.0,37,37,50.0,43.3,104.8
70,70,2025-03-22,@,NSH,L,2,5,,26,6,1,3,0,32,6,1,3,0,31,30,50.8,39,45,46.4,29,29,50.0,46.2,89.9
71,71,2025-03-25,,PHI,W,7,2,,30,4,1,1,0,19,4,0,1,0,30,20,60.0,41,46,47.1,32,32,50.0,52.2,110.2
72,72,2025-03-27,@,SJS,L,5,6,SO,35,20,2,4,0,35,10,1,4,1,33,24,57.9,43,53,44.8,31,44,41.3,35.0,90.5
73,73,2025-03-29,@,LAK,W,3,1,,26,13,1,4,1,36,15,0,3,0,34,21,61.8,35,56,38.5,27,44,38.0,48.1,97.2
74,74,2025-03-30,@,ANA,W,3,2,,23,8,0,2,0,31,4,1,4,0,35,23,60.3,45,52,46.4,37,35,51.4,38.7,108.5
75,75,2025-04-02,,FLA,W,3,2,,26,4,0,1,0,31,2,1,2,0,23,25,47.9,39,62,38.6,33,46,41.8,33.3,105.5
76,76,2025-04-05,,CBJ,W,5,0,,27,14,0,1,0,27,14,0,1,0,26,19,57.8,45,53,45.9,31,40,43.7,46.4,117.4
77,77,2025-04-08,@,FLA,L,1,3,,18,2,0,2,0,37,4,0,1,0,13,29,31.0,31,60,34.1,20,45,30.8,40.9,98.1
78,78,2025-04-09,@,TBL,W,4,3,OT,31,15,1,2,0,28,11,2,4,0,31,20,60.8,50,66,43.1,34,40,45.9,38.5,98.0
79,79,2025-04-12,,MTL,W,1,0,OT,35,11,0,4,0,15,15,0,2,0,22,26,45.8,36,46,43.9,25,29,46.3,61.9,100.0
80,80,2025-04-13,@,CAR,W,4,1,,20,8,0,2,0,26,4,1,4,0,30,23,56.6,35,52,40.2,31,36,46.3,34.5,117.2
81,81,2025-04-15,@,BUF,W,4,0,,32,4,0,2,0,35,4,0,2,0,32,31,50.8,55,51,51.9,44,38,53.7,40.6,110.7
82,82,2025-04-17,,DET,W,4,3,OT,20,4,0,2,0,34,4,1,2,0,29,16,64.4,38,44,46.3,25,34,42.4,43.5,103.7
